Generation,Baseline-Avg,Baseline-Best,Updates,Samples,DynamicSocial-Avg,DynamicSocial-Best
483,12995.986,21216.4,0,10,14015.032,22014.4
484,13100.437,20917.1,0,10,14507.435,22214.2
485,13438.525,21119.8,0,10,13718.506,21816.1
486,13008.293,20617.4,0,10,13986.454,21914.8
487,12619.72,20619.1,0,10,13048.947,21115.9
488,12845.891,21619.4,0,10,13017.507,20115.9
489,12811.579,21417.1,0,10,12741.871,19914.9
490,13284.936,21417.2,0,10,13319.483,21614
491,13220.183,21918.4,0,10,13066.912,21314.9
492,13062.941,20618.1,0,10,13366.272,21316.6
493,12950.117,19919.3,0,10,13533.553,20515.9
494,13302.531,21217.5,0,10,13796.375,22714.1
495,13025.495,21220.2,0,10,13739.733,21117.4
496,13215.923,20718.7,0,10,13312.199,20513.2
497,13423.235,20520.5,0,10,12950.207,20412.6
498,13498.165,21517.6,0,10,12972.208,21214.2
499,13386.799,20715.5,0,10,13634.768,20615
